Some(3854868588740179	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#中国好声音周杰伦#</a><a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>『快讯』<a class="k" href="/k/%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#周杰伦#</a>今晚收了四位学员，其中有一位跟大导演李安重名的澳大利亚华裔，在今天的录制中获得4转，问：你的梦想是什么？答：我选周杰伦。。	1949176623	小周周全国后援会	红米Note	06-17 23:42	null	null	4	1	9	[742e132fjw1et7inj5iwnj20no0vkdhy]	中国好声音周杰伦 中国好声音 周杰伦
3857208066044459	【主持人沈南大闹<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>】好声音试录制视频流出，《金星秀》<a href="/n/%E4%B8%BB%E6%8C%81%E4%BA%BA%E6%B2%88%E5%8D%97">@主持人沈南</a> 在舞台上又唱又跳，赢得四位导师齐转身。沈南任性直言“给我一个选你们的理由”，吓得<a href="/n/%E5%BA%BE%E6%BE%84%E6%85%B6">@庾澄慶</a> 求不选。谁料他还不收敛，扬言为了见昆凌辞职也要进周董战队。你这样对得起周董给你的好评价吗<i class="face face_1 icon_19">[笑cry]</i>&gt;&gt;<a data-url="http://t.cn/R2dzb74" href="http://video.sina.com.cn/p/ent/z/y/2015-06-24/092665029271.html?ep=Co0f4pmrh%2C1878335471%2CCo0f4pmrh%2C1878335471" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">视频：沈南大闹《中国好声音4》录制现场</span></a>	1878335471	新浪综艺	微博 weibo.com	今天 10:38	null	null	26	16	89	[6ff51fefjw1etezbeasoej20qe0hlt9i,6ff51fefjw1etezbhb49kj20qe13ljww,6ff51fefjw1etezbr6pfzj20qe13lgpa,6ff51fefjw1etezbf41mdj20qe13lq82,6ff51fefjw1etezbg0ow0j20qe13ljvz,6ff51fefjw1etezbgdgqoj20qe13l0wb,6ff51fefjw1etez8kvphvj20qe0hlwh1,6ff51fefjw1etezbgpqnlj20qe13lq8n,6ff51fefjw1etez8liqi7j20h40jwq5e]	中国好声音
3857228547224884	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>总决赛：张碧晨《时间都去哪儿了》<a data-url="http://t.cn/RhDWepO" href="http://v.qq.com/page/f/g/4/f0015wq7zg4.html?ep=Co0M6ujwo%2C3243083143%2CCo0M6ujwo%2C3243083143" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">《好声音》总决赛：张碧晨《时间都去哪儿了》</span></a>	3243083143	FM中国好声音	云中小鸟	1分钟前	null	null	0	0	1	[]	中国好声音
3857210717050822	艾玛，一不小心曝光了一位第四季 <a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> 学员，这魔性的舞蹈，熟悉的身影，怎么看都是<a href="/n/%E4%B8%BB%E6%8C%81%E4%BA%BA%E6%B2%88%E5%8D%97">@主持人沈南</a> 啊<i class="face face_1 icon_3">[哈哈]</i><i class="face face_1 icon_3">[哈哈]</i><i class="face face_1 icon_3">[哈哈]</i> <a data-url="http://t.cn/R2d2Dj4" href="http://v.qq.com/page/m/c/l/m015730b6cl.html?ep=Co0jltAeW%2C2819027752%2CCo0jltAeW%2C2819027752" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">首位“好声音”学员疑曝光</span></a>	2819027752	中国好声音	微博 weibo.com	今天 10:49	null	null	39	48	186	[a806f328gw1etezkx2y2fg20a305lkj8,a806f328gw1etezkyqjuwg20a305lhdt,a806f328gw1etezl01tx1j215o1qi421]	中国好声音
3856919091663973	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> 第四季！6月16日，试录片段！<i class="face face_1 icon_20">[doge]</i>小公举好可爱！！！<a data-url="http://t.cn/R2BFL0I" href="http://video.sina.com.cn/p/ent/z/y/2015-06-23/092565028815.html?wm=3049_0012_a111&amp;amp;from=qudao&ep=CnSIZ6YSh%2C3958764240%2CCnSIZ6YSh%2C3958764240" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">视频：《好声音4》主持人沈南获周董哈林转身</span></a> 来源：新浪视频	3958764240	周杰伦新闻站官方微博	魅蓝手机	06-23 15:30	null	null	33	13	17	[]	中国好声音
3857228027178388	转发微博	3876300318	KN陈晓强	Android	3分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3854889673594378	【视频】<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>录制第二天，<a class="k" href="/k/%E5%91%A8%E6%9D%B0%E4%BC%A6?from=feed">#周杰伦#</a>刚刚返回酒店休息！辛苦你了！周周<i class="face face_1 icon_4">[爱你]</i> <a data-url="http://t.cn/R2EVl8t" href="http://video.weibo.com/show?fid=1034:c4c4c9909eed662680029842445c559a&ep=Cn1VJf53Q%2C1850268574%2CCn1VJf53Q%2C1850268574" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">秒拍视频</span></a>（拍摄 <a href="/n/%E5%91%A8%E6%9D%B0%E4%BC%A6%E5%9B%BD%E9%99%85%E5%90%8E%E6%8F%B4%E4%BC%9A">@周杰伦国际后援会</a> 歌迷！）	1850268574	周杰伦资讯网官方微博	360安全浏览器	06-18 01:06	null	null	74	67	665	[6e48db9egw1et7l2o1f3jj20c70kpwhc]	中国好声音 周杰伦
3856475707204945	可爱的wuli碧晨从小就是这个小表情～～[好爱哦][好爱哦][好爱哦]<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>	2819027752	中国好声音	iPhone 6	06-22 10:08	3856319801295452	null	34	39	667	[]	中国好声音
3857227050063397	醉了//<a href="/n/%E5%B0%8F%E5%B0%8F%E5%B0%8F%E9%9D%92%E8%9B%99%E7%AB%A5%E9%9E%8B">@小小小青蛙童鞋</a>:转发微博	1698059984	生庆越	中兴V5手机	7分钟前	3857208066044459	3857225305454722	0	0	0	[]	中国好声音
3857227011873601	//<a href="/n/%E8%BF%BD%E6%A2%A6%E7%9A%8490%E5%90%8E%E5%A7%91%E5%A8%98">@追梦的90后姑娘</a>:好有创意<i class="face face_1 icon_4">[爱你]</i><a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>	3173730123	乌金66123	三星GALAXY S4	7分钟前	3854910304819901	3854923147561100	0	0	0	[]	中国好声音
3857012859567010	抽我好吗<i class="face face_1 icon_20">[doge]</i><a href="/n/%E5%81%B6%E5%B0%94%E4%B8%B2%E4%B8%AA%E9%97%A8%E5%91%97">@偶尔串个门呗</a> <a href="/n/%E6%87%BF%E5%AE%9A%E5%9E%9A%E5%8A%A0OiL">@懿定垚加OiL</a> <a href="/n/%E5%A7%9C%E5%B0%8F%E7%BE%8ET_T">@姜小美T_T</a> 	3824451984	汤圆没馊	小米M4	06-23 21:43	3855469179742430	null	0	0	2	[]	中国好声音 周杰伦
3857226370487456	六哲新歌已经发布，希望大家能喜欢，也请多多支持。<a class="k" href="/k/%E5%85%AD%E5%93%B2?from=feed">#六哲#</a><a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a><a class="k" href="/k/%E7%88%86%E6%96%B0%E9%B2%9C?from=feed">#爆新鲜#</a><a class="k" href="/k/%E4%B8%AD%E5%B1%B1%E8%BA%AB%E8%BE%B9%E4%BA%8B?from=feed">#中山身边事#</a><a class="k" href="/k/%E8%87%AA%E6%8B%8D?from=feed">#自拍#</a>	3906759427	许松Jackey	小米手机3	10分钟前	null	null	0	0	0	[e8dc6b03jw1etf1fv24t6j20f00qowgz]	六哲 中国好声音 爆新鲜 中山身边事 自拍
3857226353528177	转发微博	2750598435	吐槽帝的日常生活	小米手机3	10分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857226298993581	转发微博	1670240675	JAY-迋淓淓	华为Ascend P6	10分钟前	3857210717050822	null	0	0	0	[]	中国好声音
3854063626069070	[花痴][花痴][花痴]<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>帕叔帅气爆表	2819027752	中国好声音	iPhone 6	06-15 18:23	3854020500337690	null	24	26	512	[]	中国好声音
3856923746857538	<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>今天即将开录，之前先补个妆。	2726286521	汪峰工作室	iPhone 6	06-23 15:49	null	null	75	76	194	[a27fd4b9jw1ete2j7yth1j20ku0rsjvk,a27fd4b9jw1ete2jo351bj20qo0zkn2s]	中国好声音
3857225732676351	<i class="face face_1 icon_3">[哈哈]</i>//<a href="/n/%E5%B3%B0%E6%9A%B4%E6%9D%A5%E4%B8%B4--%E6%80%92%E6%94%BE%E7%9A%84%E7%94%9F%E5%91%BD">@峰暴来临--怒放的生命</a>:<i class="face face_1 icon_5">[挖鼻]</i>别闹！<i class="face face_1 icon_19">[笑cry]</i>	3959286189	Cheney冬--空城亦梦	华为Ascend P6	12分钟前	3857210717050822	3857211136939509	0	0	0	[]	中国好声音
3857225716099259	[绿叶][绿叶]小香15年最新品波士顿枕头包[爱心]️法国原厂胎牛皮[星光]24K复古五金[飞吻]超级实用，手提，肩背，斜背都可以哦[投降]尺寸32/20/16cm<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>	1777100517	名家奢侈鞋包	iPad mini	12分钟前	null	null	0	0	0	[69ec66e5jw1etf1cycfevj20qo0zkdin,69ec66e5jw1etf1cysz5nj20qo0zk776,69ec66e5jw1etf1czabpqj20qo0zkdin,69ec66e5jw1etf1czol3tj20qo0zk777,69ec66e5jw1etf1d04rmkj20qo0zkdj6,69ec66e5jw1etf1d2clu2j20qo0zkacz,69ec66e5jw1etf1d2qpvvj20qo0zk0w0,69ec66e5jw1etf1d38ow6j20qo0zkwhb,69ec66e5jw1etf1d5tec5j20qo0zkwjw]	中国好声音
3855767574641464	昨日好声音人气学员<a href="/n/%E8%90%B1%E8%90%B1%E5%B0%8F%E7%9C%89%E6%AF%9B">@萱萱小眉毛</a> 抵达贵州粉丝热情接机～今天下午一点半，萱萱将参加在貴陽中大國際購物中心举行的粉丝见面会～我们约起来吧[噢耶][噢耶][噢耶]<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>	2819027752	中国好声音	iPhone 6	06-20 11:14	null	null	11	35	358	[a806f328jw1etadwes2p7j20zk0nqn05,a806f328jw1etadwf255pj20zk0nqjul,a806f328jw1etadwfe0nmj20zk0nq0va]	中国好声音
3855768253786772	第三季<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a>季军<a href="/n/%E4%BD%99%E6%9E%AB%E8%A6%81%E5%81%9A%E6%B4%BB%E7%A5%9E%E4%BB%99">@余枫要做活神仙</a> 在继新单曲《Hands Up》发布后，曝光了MV拍摄花絮。余枫一改往日休闲随性风格，以帅气的红黑机车夹克搭配亮片裤的超未来造型亮相，加之最近风靡时尚界的利落发型，造型抢眼似穿越时空的未来战士，让歌迷不得不乖乖的“举手投降”。<i class="face face_3 icon_9">[haha]</i><i class="face face_3 icon_9">[haha]</i><i class="face face_3 icon_9">[haha]</i>	2819027752	中国好声音	iPhone 6	06-20 11:17	null	null	72	134	393	[a806f328jw1etadz6rccbj20m80xctwk,a806f328jw1etadz7gfi1j20xc0m8qc9,a806f328jw1etadz8d9m6j20xc0m8nlc]	中国好声音
3857225409896821	转发微博	2173564843	沈骁尘格	iPhone 6	14分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857015779041264	6月20日下午，第三季<a class="k" href="/k/%E4%B8%AD%E5%9B%BD%E5%A5%BD%E5%A3%B0%E9%9F%B3?from=feed">#中国好声音#</a> 人气学员“黑马”<a href="/n/%E4%BD%99%E6%9E%AB%E8%A6%81%E5%81%9A%E6%B4%BB%E7%A5%9E%E4%BB%99">@余枫要做活神仙</a> 出现在上海天马赛车场，与以往不同的是，这一次余枫是以赛车手的身份出现，此次余枫将正式代表海马M6参加中国房车锦标赛CTCC以及房车耐力赛。	5501296389	中国好声音第四季揭秘	小米手机	06-23 21:54	3856880076563816	null	1	0	6	[]	中国好声音 中国好声音
3820296060612539	[好棒][好棒][好棒]//<a href="/n/%E5%BC%A0%E7%A2%A7%E6%99%A8_">@张碧晨_</a>:<i class="face face_2 icon_10">[委屈]</i><i class="face face_2 icon_10">[委屈]</i><i class="face face_2 icon_10">[委屈]</i>	5390005546	zylovelx	金立智能手机	03-14 14:03	3819976077465066	3820286413115099	0	0	1	[]	中国好声音 duang (●—●)
3857225305454722	转发微博	2796315812	小小小青蛙童鞋	微博 weibo.com	14分钟前	3857208066044459	null	1	0	0	[]	中国好声音
3857225087187155	[开心][开心][开心][开心]  那英的造型 汪峰的头发 哈林的衣服 周杰伦<i class="face face_1 icon_20">[doge]</i>	3859521579	请叫我张明亮	红米手机	15分钟前	3857210717050822	null	0	0	1	[]	中国好声音
3857225208659379	<i class="face face_2 icon_14">[挤眼]</i>好好笑啊<i class="face face_1 icon_26">[色]</i>	1802555500	Harlem_Alva	微博搜索	14分钟前	3857208066044459	null	0	0	0	[]	中国好声音
3857225070394554	今年还蛮期待好声音的哦！	1765580713	可惜玖号没如果	iPhone 6	15分钟前	3856893804180969	null	0	0	0	[]	中国好声音
