Some(3854433118590572	每次购物结束总是会觉得少买了一件，大家是不是和我一样<i class="face face_1 icon_20">[doge]</i>[纠结][纠结]天猫<a class="k" href="/k/%E7%9C%9F%E6%96%B0%E4%BE%BF%E5%AE%9C?from=feed">#真新便宜#</a> ！还有哦，今天晚上，<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>等大家～～[羞嗒嗒]今天先穿我们长留学院滴校服出来转转[杰克逊]	1259110474	赵丽颖	iPhone 6	06-16 18:52	null	null	23334	8782	136675	[4b0c804ajw1et64djzz3hj20dw0om41v]	真新便宜 花千骨
3857225774872947	【花千骨拜师】 <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8%E8%B5%B5%E4%B8%BD%E9%A2%96?from=feed">#花千骨赵丽颖#</a> “长留列仙在上,弟子花千骨,命格异数,厄运缠身,生是不祥之人。承蒙尊上不弃，悉心教导，收我为徒。弟子定会堂堂正正，无愧天地，无愧长留，无愧尊上。今后生为尊生死为尊死。绝不违抗半句师命。天地为证！”——花千骨【你的宫铃掉了】<i class="face face_1 icon_2">[嘻嘻]</i>	1734513907	斌叔碗里的肉沫沫	iPhone 5s	9分钟前	null	null	59	4	70	[676294f3jw1etf1d9zhz5j20ny18gdmd,676294f3jw1etf1d8djd0j20pm18g7b0,676294f3jw1etf1dbh0jbj20oj18g0z6]	花千骨 花千骨赵丽颖
3857032681786571	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><a class="k" href="/k/%E9%9C%B8%E9%81%93%E6%9A%96%E5%90%9B%E6%9D%80%E9%98%A1%E9%99%8C?from=feed">#霸道暖君杀阡陌#</a>疗伤技术哪家强<i class="face face_1 icon_22">[酷]</i><i class="face face_1 icon_22">[酷]</i>杀姐姐是疗伤暖男<i class="face face_1 icon_1">[微笑]</i><i class="face face_1 icon_1">[微笑]</i>	1309248901	演员马可	iPhone 6	06-23 23:01	null	null	4101	11828	41486	[4e098d85jw1etef72dpe3j218g0tmtkf]	花千骨 霸道暖君杀阡陌
3857216492900383	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 选徒弟不像选徒弟像选老婆 拜师不像拜师像拜堂 搬去绝情殿明明就是同居好么 “你的宫铃掉了以后小心点”明明就是“你的戒指掉了以后小心点”“可以把饭带到绝情殿吃”明明就是“你可以点外卖”“绝情殿房间很多你可以随处挑”明明就是“尊上有钱任性”[尊上么么哒]	2145273177	CNBluetory	微博 weibo.com	45分钟前	null	null	229	125	1056	[]	花千骨
3856898031904518	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>  pia～pia～的我灰来了～～正如我会pia～pia～的灰走～～[转发][转发]仙剑大会，小骨上线啦!高考的孩纸们今天也要跟着小骨一起“上线”喔～～～[强壮][强壮][hold住]今晚10点湖南卫视，约！[噢耶][噢耶][羞嗒嗒]	1259110474	赵丽颖	iPhone 6	06-23 14:06	null	null	7887	18889	117533	[4b0c804ajw1etdzp1z6hfj20qe0hlwpj,4b0c804ajw1etdzp0ooloj20qe0hl7l9,4b0c804ajw1etdzp82pk8j20hs0vkx02,4b0c804ajw1etdzp9cr38j20hs0vkdov]	花千骨
3857226526096485	<a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a><a class="k" href="/k/%E8%B5%B5%E4%B8%BD%E9%A2%96?from=feed">#赵丽颖#</a><a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>白子画一毒，没有解药，妖魔神仙，没有一个逃得过，爱我你怕了吗<i class="face face_1 icon_20">[doge]</i>	5587742517	花千骨剧吧微博	UC浏览器iPhone版	6分钟前	3857225653385129	null	7	2	6	[]	霍建华 赵丽颖 花千骨 花千骨
3857227805259336	糖宝真可爱，姐第一次追这么狗血的剧被感动哭！！<i class="face face_1 icon_8">[泪]</i><i class="face face_1 icon_8">[泪]</i>	2403320815	巴黎从此止晴空	360安全浏览器	1分钟前	3856888624156106	null	0	0	0	[]	花千骨
3857227805259261	妈呀好甜啊！！ //<a href="/n/___%E8%B1%86%E7%9A%AE%E5%8A%A0%E9%9D%A2%E7%AA%9D">@___豆皮加面窝</a>:<a href="/n/%E4%B8%A2%E4%BA%86%E4%B8%AA%E8%A5%BF%E7%93%9C%E7%B1%BD">@丢了个西瓜籽</a> <i class="face face_1 icon_15">[害羞]</i> //<a href="/n/%E7%94%B5%E8%A7%86%E5%89%A7%E8%8A%B1%E5%8D%83%E9%AA%A8%E5%90%8E%E6%8F%B4%E4%BC%9A">@电视剧花千骨后援会</a>:被右po说的宠溺感Up<i class="face face_1 icon_20">[doge]</i>//<a href="/n/%E7%93%B6%E4%BA%86%E4%B8%AA%E5%B0%8F%E5%B0%8F%E5%B0%8F%E5%B0%8F%E5%93%A5">@瓶了个小小小小哥</a>: <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><i class="face face_1 icon_20">[doge]</i>重点是东方倒了之后维嘉要他回到原点，东方控诉说是小骨推的他，师父马上在旁边说:没没没！没看到！	5164687140	丢了个西瓜籽	iPhone 6 Plus	1分钟前	3856659720427874	3857226848853619	0	0	0	[]	花千骨 花千骨
3857045855968763	我都不好意思了<i class="face face_1 icon_5">[挖鼻]</i><i class="face face_1 icon_5">[挖鼻]</i>还有就是你在看<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>吗？<i class="face face_1 icon_22">[酷]</i>	1227328177	张丹峰	iPhone 6 Plus	06-23 23:54	3857034225369135	null	445	1181	6302	[]	花千骨 花千骨 国民备胎东方彧卿
3857208683512901	感觉糖宝非常喜十一师兄	1873986371	小大_象	小米手机3	今天 10:41	3857204946079837	null	0	5	4	[]	花千骨
3857208569757373	由<a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a> <a href="/n/%E8%B5%B5%E4%B8%BD%E9%A2%96">@赵丽颖</a> 领衔主演的电视剧《<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>》曝光一组尊上白子画的沐浴照！（这犹抱琵琶半遮面即视感，我去擦擦鼻血<i class="face face_1 icon_26">[色]</i>）而在本周的剧情中，执念入骨，白子画、花千骨、夏紫熏三人的感情又将生出怎样的波澜？花千骨将暂离长留入世历练又将经历怎样的风波？答案即将揭晓<i class="face face_2 icon_24">[心]</i><a data-url="http://t.cn/R2rT8za" href="http://v.qq.com/page/r/7/r/r0016shd97r.html?ep=Co0fSEWkZ%2C2591595652%2CCo0fSEWkZ%2C2591595652" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">花千骨_10</span></a>	2591595652	腾讯视频	微博 weibo.com	今天 10:40	null	null	28	30	172	[9a789c84jw1etezdutrqlj20qe0etq6n,9a789c84jw1etezdvfxf5j20qe0hl43v,9a789c84jw1etezdw26m9j20qe0eudji,9a789c84jw1etezdwp5u7j20hl0qedjc,9a789c84jw1etezdxdfnwj20qe0euwhv]	霍建华 花千骨
